"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5"
"392","The Take","Feature Film","Drama",96,"R","Hatchet Films",2007,4,11,2008,5,27,5.8,1886,"Fresh",85,"Spilled",49,"no","no","no","no","no","no","Brad Furman","John Leguizamo","Tyrese Gibson","Rosie Perez","Bobby Cannavale","Yul Vazquez"
"393","A Star is Born","Feature Film","Drama",139,"R","Warner Bros. Pictures",1976,12,17,2004,9,21,6.5,4874,"Rotten",31,"Upright",69,"yes","no","no","yes","no","no","Frank R. Pierson","Barbra Streisand","Kris Kristofferson","Gary Busey","Oliver Clark","Vanetta Fields"
"394","The Belly of an Architect","Feature Film","Drama",119,"R","Hemdale",1987,1,1,2004,6,15,7,4121,"Fresh",91,"Upright",80,"no","no","no","no","no","no","Peter Greenaway","Brian Dennehy","Chloe Webb","Lambert Wilson","Sergio Fantoni","Vanni Corbellini"
"395","Veronica Mars","Feature Film","Drama",107,"PG-13","Warner Bros.",2014,3,14,2014,5,6,6.8,40133,"Certified Fresh",78,"Upright",79,"no","no","no","no","no","no","Rob Thomas (III)","Kristen Bell","Ryan Hansen","Jason Dohring","Chris Lowell","Tina Majorino"
"396","Kaena: The Prophecy","Feature Film","Action & Adventure",85,"PG-13","Samuel Goldwyn Films",2004,7,9,2004,9,7,6.2,3416,"Rotten",7,"Spilled",43,"no","no","no","no","no","no","Chris Delaporte","Kirsten Dunst","Richard Harris","Anjelica Huston","Keith David","Michael McShane"
"397","Ghost Ship","Feature Film","Horror",91,"R","Warner Bros. Pictures",2002,10,25,2003,3,25,5.5,73617,"Rotten",14,"Spilled",37,"no","no","no","no","no","no","Steve Beck","Gabriel Byrne","Julianna Margulies","Ron Eldard","Desmond Harrington","Isaiah Washington"
"398","21 Grams","Feature Film","Drama",124,"R","Universal Pictures",2003,11,21,2004,3,16,7.7,183747,"Certified Fresh",80,"Upright",86,"no","no","yes","no","yes","no","Alejandro Gonzalez Inarritu","Sean Penn","Naomi Watts","Benicio Del Toro","Charlotte Gainsbourg","Melissa Leo"
"399","Date Night","Feature Film","Comedy",88,"PG-13","20th Century Fox",2010,4,9,2010,8,10,6.3,123588,"Fresh",67,"Spilled",55,"no","no","no","no","no","no","Shawn Levy","Steve Carell","Tina Fey","Mark Wahlberg","Taraji P. Henson","Jimmi Simpson"
"400","Anchorman 2: The Legend Continues","Feature Film","Comedy",119,"PG-13","Paramount Pictures",2013,12,18,2014,4,1,6.3,124250,"Certified Fresh",75,"Spilled",52,"no","no","no","no","no","no","Adam McKay","Will Ferrell","Paul Rudd","Steve Carell","David Koechner","Christina Applegate"
"401","Thunderheart","Feature Film","Drama",119,"R","Sony Pictures Home Entertainment",1992,4,1,2000,11,7,6.8,11103,"Fresh",87,"Upright",75,"no","no","no","no","no","no","Michael Apted","Val Kilmer","Sam Shepard","Graham Greene (II)","Fred Ward","Fred Dalton Thompson"
"402","Guess Who","Feature Film","Comedy",105,"PG-13","Sony Pictures",2005,3,25,2005,8,2,5.9,33040,"Rotten",43,"Spilled",49,"no","no","no","no","no","no","Ashton Kutcher","Bernie Mac","Ashton Kutcher","Zoe Saldana","Judith Scott","Hal Williams"
"403","Brubaker","Feature Film","Drama",131,"R","20th Century Fox Film Corporation",1980,6,20,2003,5,20,7.1,11236,"Fresh",75,"Upright",74,"no","no","no","no","no","no","Stuart Rosenberg","Robert Redford","Yaphet Kotto","Jane Alexander","Murray Hamilton","David Keith"
"404","Jagged Edge","Feature Film","Mystery & Suspense",108,"R","Columbia Pictures",1985,10,4,2000,5,2,6.4,9946,"Fresh",82,"Spilled",58,"no","no","yes","no","no","no","Richard Marquand","Glenn Close","Jeff Bridges","Peter Coyote","Robert Loggia","John Dehner"
"405","The Last Remake of Beau Geste","Feature Film","Action & Adventure",85,"PG","MCA Universal Home Video",1977,7,15,NA,NA,NA,6,1680,"Rotten",33,"Upright",65,"no","no","no","no","no","no","Marty Feldman","Marty Feldman","Ann-Margret","Michael York","Peter Ustinov","James Earl Jones"
"406","Melancholia","Feature Film","Drama",130,"R","Magnolia Pictures",2011,11,11,2012,3,13,7.1,122980,"Certified Fresh",79,"Upright",67,"no","no","no","no","no","no","Lars von Trier","Kirsten Dunst","Charlotte Gainsbourg","Kiefer Sutherland","John Hurt","Alexander Skarsgard"
"407","Boomerang","Feature Film","Comedy",117,"R","Paramount Pictures",1992,7,1,2002,9,24,5.4,19603,"Rotten",40,"Upright",60,"no","no","no","yes","no","no","Reginald Hudlin","Eddie Murphy","Robin Givens","Halle Berry","David Alan Grier","Martin Lawrence"
"408","The Man with the Golden Gun","Feature Film","Drama",125,"PG","MGM Home Entertainment",1974,12,18,2002,10,22,6.8,71141,"Rotten",45,"Spilled",57,"no","no","no","no","no","no","Guy Hamilton","Roger Moore","Christopher Lee","Britt Ekland","Maud Adams","Herve Villechaize"
"409","Hellraiser - Bloodline","Feature Film","Science Fiction & Fantasy",85,"R","Miramax Films",1996,3,8,2000,10,10,5,13790,"Rotten",25,"Spilled",37,"no","no","no","no","no","no","Joe Chappelle","Doug Bradley","Bruce Ramsay","Valentina Vargas","Kim Myers","Christine Harnos"
"410","Diner","Feature Film","Drama",110,"R","MGM Home Entertainment",1982,4,2,2000,4,4,7.2,14589,"Fresh",91,"Upright",78,"no","no","no","no","yes","no","Barry Levinson","Steve Guttenberg","Daniel Stern","Mickey Rourke","Kevin Bacon","Tim Daly"
"411","Cecil B. Demented","Feature Film","Comedy",87,"R","Artisan Entertainment",2000,8,11,2001,1,23,6.2,11259,"Rotten",53,"Upright",67,"no","no","no","no","no","no","John Waters","Stephen Dorff","Melanie Griffith","Adrian Grenier","Alicia Witt","Lawrence Gilliard Jr."
"412","Ragtime","Feature Film","Drama",155,"PG","Paramount Pictures",1981,11,20,2004,11,16,7.3,6472,"Fresh",90,"Upright",76,"no","no","yes","no","no","no","Milos Forman","James Cagney","Elizabeth McGovern","Brad Dourif","Moses Gunn","Kenneth McMillan"
"413","One Day","Feature Film","Drama",107,"PG-13","Focus Features",2011,8,19,2011,11,29,7,100416,"Rotten",36,"Spilled",49,"no","no","no","no","no","no","Lone Scherfig","Anne Hathaway","Jim Sturgess","Tom Mison","Jodie Whittaker","Rafe Spall"
"414","Rambling Rose","Feature Film","Drama",112,"R","Live Home Video",1991,9,10,1999,3,16,6.7,3866,"Fresh",100,"Spilled",51,"no","no","yes","no","no","no","Martha Coolidge","Laura Dern","Robert Duvall","Diane Ladd","Lukas Haas","John Heard"
"415","Cameraman: The Life And Work Of Jack Cardiff","Documentary","Documentary",86,"Unrated","Independent Pictures",2011,5,13,2011,8,16,7.8,872,"Fresh",96,"Upright",92,"no","no","yes","no","no","no","Craig McCall","Martin Scorsese","Kirk Douglas","Lauren Bacall","Charlton Heston","Kim Hunter"
"416","I Am Bruce Lee","Documentary","Documentary",94,"Unrated","D&E Entertainment",2012,2,9,2013,5,8,7.5,2928,"Fresh",67,"Upright",78,"no","no","no","no","no","no","Pete McCormack","Dana White","Ed O'Neill","Kobe Bryant","Linda Lee Cadwell","Manny Pacquiao"
"417","Let It Be","Documentary","Documentary",81,"G","United Artists",1970,5,20,NA,NA,NA,7.9,3887,"Fresh",82,"Upright",87,"no","no","no","no","no","no","Michael Lindsay-Hogg","Beatles The","Paul McCartney","Ringo Starr","George Harrison","John Lennon"
"418","Brighton Rock","Feature Film","Mystery & Suspense",111,"R","IFC Films",2011,8,26,2011,12,27,5.8,4904,"Rotten",51,"Spilled",32,"no","no","no","yes","no","no","Rowan Joffe","Sam Riley","Andrea Riseborough","Helen Mirren","John Hurt","Andy Serkis"
"419","The Disappearance of Alice Creed","Feature Film","Mystery & Suspense",96,"R","Anchor Bay Entertainment",2010,8,6,2010,11,23,6.8,19937,"Certified Fresh",82,"Upright",67,"no","no","no","no","no","no","J Blakeson","Gemma Arterton","Martin Compston","Eddie Marsan",NA,NA
"420","Sgt. Bilko","Feature Film","Comedy",93,"PG","MCA Universal Home Video",1996,3,29,1998,6,30,5.7,17384,"Rotten",32,"Spilled",47,"no","no","no","no","no","no","Jonathan Lynn","Steve Martin","Dan Aykroyd","Phil Hartman","Glenne Headly","Daryl 'Chill' Mitchell"
"421","One Night at McCool's","Feature Film","Comedy",93,"R","USA Films",2001,4,27,2001,10,9,6.1,25683,"Rotten",33,"Spilled",39,"no","no","yes","no","no","no","Harald Zwart","Liv Tyler","Matt Dillon","Paul Reiser","John Goodman","Michael Douglas"
"422","V.I. Warshawski","Feature Film","Drama",89,"R","Hollywood Pictures",1991,7,26,2002,6,4,4.8,3883,"Rotten",17,"Spilled",24,"no","no","no","no","no","no","Jeff Kanew","Kathleen Turner","Jay O Sanders","Charles Durning","Angela Goethals","Nancy Paul"
"423","Glory","Feature Film","Drama",122,"R","TriStar",1989,12,15,1998,1,1,7.9,99582,"Certified Fresh",93,"Upright",93,"no","no","yes","no","no","no","Edward Zwick","Matthew Broderick","Denzel Washington","Cary Elwes","Morgan Freeman","Andre Braugher"
"424","Carnosaur","Feature Film","Horror",83,"R","Concorde/New Horizons Home Video",1993,5,21,2000,4,18,3.4,2959,"Rotten",11,"Spilled",24,"no","no","no","no","no","no","Adam Simon","Diane Ladd","Raphael Sbarge","Jennifer Runyon","David Rupel","Raphael Searge"
"425","The Ninth Gate","Feature Film","Mystery & Suspense",133,"R","Artisan Entertainment",1999,12,24,2000,7,18,6.7,134031,"Rotten",41,"Spilled",57,"no","no","no","no","no","no",NA,"Johnny Depp","Frank Langella","Lena Olin","Emmanuelle Seigner","Barbara Jefford"
"426","New York Minute","Feature Film","Action & Adventure",91,"PG","Warner Bros.",2004,5,7,2004,8,17,4.8,17190,"Rotten",11,"Spilled",47,"no","no","no","no","no","no","Dennie Gordon","Eugene Levy","Andy Richter","Riley Smith","Jared Padalecki","Drew Pinsky"
"427","Blue Valentine","Feature Film","Drama",112,"R","Weinstein Company",2010,12,29,2011,5,10,7.4,135840,"Certified Fresh",88,"Upright",77,"no","no","no","no","no","no","Andrij Parekh","Ryan Gosling","Michelle Williams","Faith Wladyka","John Doman","Mike Vogel"
"428","The Other Sister","Feature Film","Drama",129,"PG-13","Buena Vista",1999,2,26,2001,4,17,6.4,10126,"Rotten",29,"Upright",72,"no","no","no","yes","no","no","Garry Marshall","Juliette Lewis","Diane Keaton","Tom Skerritt","Giovanni Ribisi","Poppy Montgomery"
"429","The Astronaut Farmer","Feature Film","Drama",104,"PG","Warner Independent Pictures",2006,10,15,2007,7,10,6.3,19383,"Rotten",57,"Spilled",49,"no","no","no","no","no","no","Michael Polish","Virginia Madsen","Bruce Dern","Tim Blake Nelson","Jasper Polish","Logan Polish"
"430","Good Will Hunting","Feature Film","Drama",126,"R","Miramax Films",1997,12,5,1998,12,8,8.3,572236,"Certified Fresh",97,"Upright",94,"yes","no","no","no","no","no","Gus Van Sant","Matt Damon","Robin Williams","Ben Affleck","Minnie Driver","Casey Affleck"
"431","Town & Country","Feature Film","Drama",104,"R","New Line Cinema",2000,9,1,2001,10,16,4.3,4072,"Rotten",13,"Spilled",14,"no","no","no","yes","no","no","Boris Damast","Warren Beatty","Diane Keaton","Goldie Hawn","Garry Shandling","Andie MacDowell"
"432","Deck the Halls","Feature Film","Comedy",93,"PG","20th Century Fox",2006,11,22,2007,11,6,4.9,15491,"Rotten",6,"Spilled",30,"no","no","no","no","no","no","John Whitesell","Danny DeVito","Matthew Broderick","Kristin Davis","Kristin Chenoweth","Alia Shawkat"
"433","Simone","Feature Film","Drama",117,"PG-13","New Line Cinema",2002,8,23,2003,1,21,6.1,51070,"Rotten",51,"Spilled",35,"no","no","yes","no","no","no","Andrew Niccol","Al Pacino","Catherine Keener","Rachel Roberts","Evan Rachel Wood","Jay Mohr"
"434","The Adjuster","Feature Film","Drama",102,"R","Alliance Atlantis Communications",1992,5,29,2001,4,10,6.8,2530,"Fresh",73,"Upright",73,"no","no","no","no","no","no","Atom Egoyan","Elias Koteas","Arsinee Khanjian","Maury Chaykin","Gabrielle Rose","Jennifer Dale"
"435","Turistas (Paradise Lost)","Feature Film","Drama",93,"R","Fox Atomic",2006,12,1,2007,3,27,5.3,30495,"Rotten",16,"Spilled",28,"no","no","no","no","no","no","John Stockwell","Melissa George","Josh Duhamel","Olivia Wilde","Desmond Askew","Beau Garrett"
"436","New In Town","Feature Film","Comedy",97,"PG","Lionsgate Films",2009,1,30,2009,5,26,5.6,16955,"Rotten",29,"Spilled",37,"no","no","no","no","no","no","Jonas Elmer","Harry Connick Jr.","Rashida Jones","Siobhan Fallon","J.K. Simmons","Frances Conroy"
"437","The Prestige","Feature Film","Drama",130,"PG-13","Buena Vista Pictures",2006,10,20,2007,2,20,8.5,797101,"Certified Fresh",76,"Upright",92,"no","no","no","no","no","no","Christopher Nolan","Hugh Jackman","Christian Bale","Michael Caine","Piper Perabo","Rebecca Hall"
"438","Waist Deep","Feature Film","Drama",97,"R","Focus Features",2006,6,23,2006,10,10,5.9,8059,"Rotten",27,"Upright",76,"no","no","no","no","no","no","Stan Lathan","Tyrese Gibson","Meagan Good","The Game","Paul Terrel Clayton","Darris Love"
"439","The Science of Sleep","Feature Film","Drama",105,"R","Warner Independent Pictures",2006,6,18,2007,2,5,7.3,60483,"Fresh",71,"Upright",81,"no","no","no","no","no","no","Michel Gondry","Gael Garcia Bernal","Miou Miou","Charlotte Gainsbourg","Alain Chabat","Miou-Miou"
"440","Gracie","Feature Film","Drama",95,"PG-13","Picturehouse",2007,6,1,2007,9,17,6.2,3602,"Fresh",60,"Spilled",58,"no","no","no","no","no","no","Davis Guggenheim","Carly Schroeder","Elisabeth Shue","Dermot Mulroney","Andrew Shue","Joshua Caras"
"441","See No Evil, Hear No Evil","Feature Film","Action & Adventure",103,"R","Sony Pictures Home Entertainment",1989,5,12,2001,10,30,6.8,34802,"Rotten",18,"Upright",72,"no","no","yes","no","no","no","Arthur Hiller","Richard Pryor","Gene Wilder","Joan Severance","Kevin Spacey","Alan North"
"442","The Safety of Objects","Feature Film","Mystery & Suspense",121,"R","IFC Films",2001,1,1,2003,10,14,6.6,3730,"Rotten",49,"Upright",66,"no","no","no","no","no","no","Rose Troche","Glenn Close","Dermot Mulroney","Jessica Campbell","Patricia Clarkson","Joshua Jackson"
"443","Dumb and Dumberer: When Harry Met Lloyd","Feature Film","Comedy",85,"PG-13","New Line Cinema",2003,6,13,2004,6,1,3.4,30085,"Rotten",10,"Spilled",23,"no","no","no","no","no","no","Troy Miller","Eric Christian Olsen","Derek Richardson","Rachel Nichols","Cheri Oteri","Luis Guzman"
"444","The Little Rascals","Feature Film","Comedy",82,"PG","MCA Universal Home Video",1994,8,5,1999,2,23,6.3,32737,"Rotten",25,"Upright",70,"no","no","no","no","no","no","Penelope Spheeris","Travis Tedford","Bug Hall","Brittany Ashton Holmes","Kevin Jamal Woods","Zachary Mabry"
"445","Moonstruck","Feature Film","Drama",102,"PG","MGM Home Entertainment",1987,12,18,1998,6,30,7.1,34307,"Certified Fresh",92,"Upright",81,"yes","no","yes","yes","no","no","Norman Jewison","Cher","Nicolas Cage","Olympia Dukakis","Fyodor Chaliapin","Vincent Gardenia"
"446","World Trade Center","Feature Film","Drama",129,"PG-13","Paramount Pictures",2006,8,9,2007,1,29,6,66171,"Fresh",68,"Upright",60,"no","no","yes","no","yes","no","Oliver Stone","Nicolas Cage","Michael Pena","Maggie Gyllenhaal","Maria Bello","Stephen Dorff"
"447","The Portrait of a Lady","Feature Film","Drama",144,"PG-13","PolyGram Video",1996,12,24,1999,9,14,6.3,8685,"Rotten",43,"Spilled",52,"no","no","no","yes","no","no","Jane Campion","Nicole Kidman","John Malkovich","Barbara Hershey","Mary-Louise Parker","Martin Donovan"
"448","The Postman","Feature Film","Action & Adventure",177,"R","Warner Home Video",1997,12,25,1998,6,23,5.9,54597,"Rotten",9,"Spilled",49,"no","no","no","no","yes","no","Kevin Costner","Will Patton","Larenz Tate","Olivia Williams","James Russo","Daniel von Bargen"
"449","Mixed Nuts","Feature Film","Comedy",97,"PG-13","Sony Pictures Home Entertainment",1994,12,21,2001,12,4,5.3,7862,"Rotten",7,"Spilled",46,"no","no","no","no","no","no","Nora Ephron","Steve Martin","Madeline Kahn","Rita Wilson","Anthony LaPaglia","Juliette Lewis"
"450","While You Were Sleeping","Feature Film","Drama",103,"PG","Buena Vista Pictures",1995,4,21,1998,2,3,6.6,68871,"Certified Fresh",80,"Upright",79,"no","no","no","yes","no","no","Jon Turteltaub","Sandra Bullock","Bill Pullman","Peter Gallagher","Peter Boyle","Jack Warden"
"451","No Country for Old Men","Feature Film","Drama",122,"R","Miramax Films",2007,11,21,2009,4,7,8.1,582091,"Certified Fresh",93,"Upright",86,"yes","yes","no","no","yes","no","Joel Coen","Tommy Lee Jones","Javier Bardem","Josh Brolin","Woody Harrelson","Kelly Macdonald"
"452","Pootie Tang","Feature Film","Comedy",81,"PG-13","Paramount Pictures",2001,6,29,2001,11,27,5.1,11156,"Rotten",29,"Upright",63,"no","no","no","no","no","no","Louis C.K.","Lance Crouther","Jennifer Coolidge","Wanda Sykes","Robert Vaughn","Chris Rock"
"453","Sans Soleil","Documentary","Documentary",100,"R","Criterion Collection",1983,2,1,1993,6,16,8.2,6345,"Fresh",92,"Upright",88,"no","no","no","no","no","no","Chris Marker","Florence Delay","Alexandra Stewart","Kazuko Kawakita","Hayao Shibata","Ichiro Hagiwara"
"454","Dare","Feature Film","Drama",92,"R","Image Entertainment",2009,11,13,2010,2,9,5.9,3473,"Fresh",60,"Spilled",34,"no","no","no","no","no","no","Adam Salky","Emmy Rossum","Zach Gilford","Ashley Springer","Ana Gasteyer","Alan Cumming"
"455","Formula 51","Feature Film","Action & Adventure",93,"R","Screen Gems",2002,10,18,2003,2,4,6.3,42295,"Rotten",25,"Spilled",59,"no","no","no","no","no","no","Ronny Yu","Samuel L. Jackson","Robert Carlyle","Emily Mortimer","Rhys Ifans","Sean Pertwee"
"456","The Fifth Element","Feature Film","Drama",126,"PG-13","Sony Pictures Home Entertainment",1997,5,9,1997,12,9,7.6,329613,"Fresh",71,"Upright",87,"no","no","no","no","no","no","Luc Besson","Bruce Willis","Ian Holm","Gary Oldman","Chris Tucker","Luke Perry"
"457","The Frozen Ground","Feature Film","Mystery & Suspense",105,"R","The Film Arcade",2013,8,23,2013,10,1,6.4,42408,"Fresh",60,"Spilled",50,"no","no","yes","no","no","no","Scott Walker","Nicolas Cage","John Cusack","Vanessa Hudgens","Dean Norris","50 Cent"
"458","Ice Age: Continental Drift","Feature Film","Action & Adventure",88,"PG","20th Century Fox",2012,7,13,2012,12,11,6.7,137222,"Rotten",37,"Upright",62,"no","no","no","no","no","no","Michael Thurmeier","Ray Romano","John Leguizamo","Denis Leary","Queen Latifah","Seann William Scott"
"459","Showtime","Feature Film","Comedy",95,"PG-13","Warner Bros. Pictures",2002,3,15,2002,8,13,5.5,51366,"Rotten",25,"Spilled",25,"no","no","yes","no","no","no","Tom Dey","Robert De Niro","Eddie Murphy","Rene Russo","Pedro Damien","Pedro Damian"
"460","The Greatest Game Ever Played","Feature Film","Drama",120,"PG","Buena Vista Pictures",2005,9,30,2006,4,11,7.5,21623,"Fresh",63,"Upright",82,"no","no","no","no","no","no","Bill Paxton","Shia LaBeouf","Stephen Dillane","Elias Koteas","Josh Flitter","Peyton List"
"461","Grizzly Man","Documentary","Documentary",103,"R","Lions Gate Releasing",2005,8,12,2005,12,26,7.8,39320,"Certified Fresh",93,"Upright",85,"no","no","no","no","no","no","Werner Herzog","Timothy Treadwell","Timothy Treadwell","Amie Huguenard","Warren Queeney","Franc Falico"
"462","Galaxina","Feature Film","Science Fiction & Fantasy",95,"R","Crown International Pictures",1980,6,6,2000,2,29,3.4,1915,"Rotten",17,"Spilled",26,"no","no","no","no","no","no","William Sachs","Stephen Macht","Dorothy Stratten","Avery Schreiber","James David Hinton","Ronald J. Knight"
"463","Oh, God! Book II","Feature Film","Comedy",94,"PG","WARNER BROTHERS PICTURES",1980,10,3,2005,2,15,5.1,1674,"Rotten",50,"Spilled",38,"no","no","no","no","no","no","Gilbert Cates","George Burns","Suzanne Pleshette","Tracy Richards","David Birney","Louanne"
"464","Micki + Maude","Feature Film","Comedy",118,"PG-13","Sony Pictures Entertainment",1984,12,21,2003,11,4,5.9,2096,"Fresh",67,"Spilled",45,"no","no","no","no","no","no","Blake Edwards","Dudley Moore","Amy Irving","Ann Reinking","Richard Mulligan","George Gaynes"
"465","Bootmen","Feature Film","Drama",95,"R","Twentieth Century Fox Home Entertainment",2000,10,6,2004,9,7,6.2,1935,"Rotten",35,"Upright",70,"no","no","no","no","no","no","Dein Perry","Adam Garcia","Sophie Lee","Sam Worthington","William Zappa","Richard Carter"
"466","My Dinner with Andre","Feature Film","Drama",110,"PG","New Yorker Films",1981,10,11,2001,2,13,7.8,10522,"Fresh",91,"Upright",86,"no","no","no","no","no","no","Louis Malle","Jean Lenauer","Roy Butler","Andre Gregory","Wallace Shawn",NA
"467","Mother's Boys","Feature Film","Mystery & Suspense",96,"R","Miramax",1993,1,1,2001,5,15,5.4,2380,"Rotten",43,"Spilled",28,"no","no","no","no","no","no","Yves Simoneau","Jamie Lee Curtis","Peter Gallagher","Joanne Whalley","Vanessa Redgrave","Luke Edwards"
"468","Robin Hood","Feature Film","Action & Adventure",83,"G","Buena Vista Pictures",1973,11,8,2000,7,4,7.6,78862,"Rotten",50,"Upright",81,"no","no","no","no","no","no","Wolfgang Reitherman","Brian Bedford","Phil Harris","Monica Evans","Peter Ustinov","Terry-Thomas"
"469","Ghost Rider: Spirit of Vengeance","Feature Film","Action & Adventure",96,"PG-13","Sony Pictures",2012,2,17,2012,6,12,4.3,83724,"Rotten",17,"Spilled",32,"no","no","yes","no","no","no","Brian Taylor","Nicolas Cage","Ciaran Hinds","Violante Placido","Idris Elba","Johnny Whitworth"
"470","Naked Lunch","Feature Film","Drama",115,"R","Twentieth Century Fox Home Entertainment",1991,12,27,2003,11,11,7.1,34298,"Fresh",71,"Upright",77,"no","no","no","no","no","no","David Cronenberg","Peter Weller","Judy Davis","Ian Holm","Julian Davis","Roy Scheider"
"471","Theremin: An Electronic Odyssey","Documentary","Documentary",83,"PG","Kaga Bay",1994,1,29,2006,4,18,7.4,830,"Fresh",100,"Upright",72,"no","no","no","no","no","no","Steven M. Martin","Leon Theremin","Clara Rockmore","Todd Rundgren","Brian Wilson","Robert Moog"
"472","The Whole Wide World","Feature Film","Drama",111,"PG","Sony Entertainment",1996,12,1,2003,7,29,7.3,2869,"Fresh",81,"Upright",72,"no","no","no","no","no","no","Dan Ireland","Vincent D'Onofrio","Renee Zellweger","Ann Wedgeworth","Harve Presnell","Benjamin Mouton"
"473","Hostel","Feature Film","Horror",94,"R","Lions Gate Films",2006,1,6,2006,4,18,5.9,134510,"Fresh",61,"Spilled",53,"no","no","no","no","no","no","Eli Roth","Jay Hernandez","Derek Richardson","Eythor Gudjonsson","Shane Daly","Barbara Nedeljakova"
"474","Swordfish","Feature Film","Drama",99,"R","Warner Bros. Pictures",2001,6,8,2001,10,30,6.5,152216,"Rotten",26,"Upright",60,"no","no","no","yes","no","no","Dominic Sena","John Travolta","Hugh Jackman","Halle Berry","Don Cheadle","Vinnie Jones"
"475","Dark Skies","Feature Film","Mystery & Suspense",97,"PG-13","The Weinstein Company",2013,2,22,2013,5,28,6.3,54771,"Rotten",40,"Spilled",49,"no","no","no","no","no","no","Scott Stewart","Keri Russell","Josh Hamilton","Dakota Goyo","Kadan Rockett","J.K. Simmons"
"476","The Distinguished Gentleman","Feature Film","Comedy",112,"R","Hollywood Pictures",1992,12,4,1999,11,16,5.8,11838,"Rotten",13,"Spilled",36,"no","no","no","no","no","no","Jonathan Lynn","Eddie Murphy","Lane Smith","Sheryl Lee Ralph","Joe Don Baker","Victoria Rowell"
"477","The Time Traveler's Wife","Feature Film","Drama",107,"PG-13","Warner Bros. Pictures",2009,8,14,2010,2,9,7.1,110540,"Rotten",38,"Spilled",59,"no","no","no","no","no","no","Robert Schwentke","Rachel McAdams","Eric Bana","Arliss Howard","Ron Livingston","Stephen Tobolowsky"
"478","Breathless","Feature Film","Drama",100,"R","Orion Pictures Corporation",1983,5,13,2001,5,15,5.7,6343,"Fresh",67,"Spilled",49,"no","no","no","no","no","no","Jim McBride","Richard Gere","Valerie Kaprisky","Art Metrano","John P. Ryan","William Tepper"
"479","Love Actually","Feature Film","Comedy",135,"R","Universal Pictures",2003,11,7,2004,4,27,7.7,309494,"Fresh",63,"Upright",73,"no","no","yes","yes","no","no","Richard Curtis","Bill Nighy","Hugh Grant","Liam Neeson","Emma Thompson","Colin Firth"
"480","Oh, God!","Feature Film","Science Fiction & Fantasy",98,"PG","Warner Home Video",1977,10,7,2002,7,9,6.5,6909,"Fresh",72,"Spilled",59,"no","no","no","no","no","no","Carl Reiner","George Burns","John Denver","Teri Garr","Donald Pleasence","Ralph Bellamy"
"481","Bookies","Feature Film","Drama",88,"R","MGM Home Entertainment",2004,9,1,2004,8,31,6,1890,"Fresh",67,"Spilled",49,"no","no","no","no","no","no","Mark Illsley","Nick Stahl","Lukas Haas","Johnny Galecki","Rachael Leigh Cook","David Proval"
"482","Live and Let Die","Feature Film","Mystery & Suspense",121,"PG","MGM Home Entertainment",1973,6,27,1999,10,19,6.8,72176,"Fresh",66,"Upright",65,"no","no","no","no","no","no","Guy Hamilton","Roger Moore","Yaphet Kotto","Jane Seymour","Julius W. Harris","Clifton James"
"483","What's Cooking?","Feature Film","Drama",109,"PG-13","Trimark Pictures",2000,1,20,2001,4,10,7.1,2271,"Rotten",52,"Upright",64,"no","no","no","no","no","no","Gurinder Chadha","Kyra Sedgwick","Mercedes Ruehl","Julianna Margulies","Alfre Woodard","Joan Chen"
"484","The Funeral","Feature Film","Drama",99,"R","Echo Bridge Home Entertainment",1996,11,1,2000,7,11,6.6,6804,"Fresh",79,"Upright",68,"no","no","no","no","no","no","Abel Ferrara","Christopher Walken","Chris Penn","Vincent Gallo","Benicio Del Toro","Annabella Sciorra"
"485","Safe House","Feature Film","Mystery & Suspense",115,"R","Universal Pictures",2012,2,10,2012,6,5,6.8,161101,"Rotten",53,"Upright",64,"no","no","no","no","no","no","Daniel Espinosa","Ryan Reynolds","Vera Farmiga","Brendan Gleeson","Sam Shepard","Ruben Blades"
"486","Welcome to Mooseport","Feature Film","Comedy",110,"PG-13","20th Century Fox",2004,2,20,2004,5,25,5.2,10535,"Rotten",13,"Spilled",19,"no","no","yes","no","no","no","Donald Petrie","Ray Romano","Gene Hackman","Marcia Gay Harden","Maura Tierney","Christine Baranski"
"487","Trainspotting","Feature Film","Drama",94,"R","Miramax Films",1996,7,19,1998,3,24,8.2,448434,"Certified Fresh",89,"Upright",93,"no","no","no","no","yes","no","Danny Boyle","Ewan McGregor","Ewen Bremner","Jonny Lee Miller","Kevin Mckidd","Robert Carlyle"
"488","I Wanna Hold Your Hand","Feature Film","Drama",104,"PG","Universal",1978,1,1,2004,9,28,6.9,2931,"Fresh",83,"Upright",76,"no","no","no","no","yes","no","Robert Zemeckis","Nancy Allen","Bobby Di Cicco","Marc McClure","Susan Kendall Newman","Wendie Jo Sperber"
"489","Lola Versus","Feature Film","Comedy",87,"R","Fox Searchlight Pictures",2012,6,8,2012,9,11,5.4,6811,"Rotten",35,"Spilled",31,"no","no","no","no","no","no","Daryl Wein","Greta Gerwig","Joel Kinnaman","Zoe Lister Jones","Hamish Linklater","Bill Pullman"
